Time,Container,From,To,CTMType
11/30/2021 8:57,CARU5283030,RTG21,CC1_178_A_4,CheToStack
11/30/2021 8:57,S0025362164,RTG16,MM6_610_D_4,CheToStack
11/30/2021 8:57,KOCU4974870,RTG25,119422,CheToTruck
11/30/2021 8:58,MEDU8350585,RTG26,EE2_300_F_1,CheToStack
11/30/2021 8:58,MSMU6475268,RTG23,EE1_226_B_2,CheToStack
11/30/2021 8:58,MSMU6609789,RTG17,NN2_272_B_1,CheToStack
11/30/2021 8:58,HASU5033560,RTG22,MM3_454_E_3,CheToStack
11/30/2021 8:59,MSKU1216900,RTG16,DM-D7726225,CheToTruck
11/30/2021 8:59,TCNU2865246,RTG17,NN2_272_B_2,CheToStack
11/30/2021 8:59,CAIU7437611,RTG16,MM6_610_E_4,CheToStack
11/30/2021 9:00,TEMU1877448,RTG28,CC3_415_D_3,CheToStack
11/30/2021 9:00,CAIU7465824,RTG23,350571,CheToTruck
11/30/2021 9:00,S0025364535,RTG17,NN2_272_B_3,CheToStack
11/30/2021 9:00,MSKU9287324,RTG22,MM3_454_C_2,CheToStack
11/30/2021 9:01,S0025364544,RTG26,EE2_294_B_2,CheToStack
11/30/2021 9:01,MEDU8769308,RTG21,174328,CheToTruck
11/30/2021 9:01,TEMU8429527,RTG16,MM6_610_C_2,CheToStack
11/30/2021 9:01,GESU6913660,RTG28,154294,CheToTruck
11/30/2021 9:01,MSMU6608329,RTG24,DD1_226_F_1,CheToStack
11/30/2021 9:02,YMMU6206700,RTG26,92802,CheToTruck
11/30/2021 9:02,CAIU9914734,RTG22,258051,CheToTruck
11/30/2021 9:03,TCNU8641095,RTG16,MM6_610_C_3,CheToStack
11/30/2021 9:03,MEDU8468602,RTG24,DD1_226_D_3,CheToStack
11/30/2021 9:03,CARU5283030,RTG21,CC1_178_E_1,CheToStack
11/30/2021 9:03,TGHU6750885,RTG17,NN2_298_A_4,CheToStack
11/30/2021 9:03,MSMU7828056,RTG26,EE2_294_C_2,CheToStack
11/30/2021 9:04,SMCU1210255,RTG16,MM6_610_C_4,CheToStack
11/30/2021 9:04,MSMU8492454,RTG24,DD1_226_D_4,CheToStack
11/30/2021 9:04,MSMU6582203,RTG17,NN2_298_C_4,CheToStack
11/30/2021 9:04,KOCU4453681,RTG25,DD6_678_D_1,CheToStack
11/30/2021 9:04,TLLU8544917,RTG23,EE1_242_F_4,CheToStack
11/30/2021 9:05,S0025364618,RTG21,CC1_178_E_2,CheToStack
11/30/2021 9:05,S0025364633,RTG25,DD6_678_D_2,CheToStack
11/30/2021 9:05,DFSU6544052,RTG17,352346,CheToTruck
11/30/2021 9:05,MSDU7479847,RTG23,EE1_242_D_5,CheToStack
11/30/2021 9:05,FFAU1913239,RTG24,308368,CheToTruck
11/30/2021 9:06,BEAU6316523,RTG16,180314,CheToTruck
11/30/2021 9:06,TGHU6750885,RTG17,NN2_298_B_2,CheToStack
11/30/2021 9:06,MRKU6149211,RTG27,EE5_566_D_3,CheToStack
11/30/2021 9:07,SMCU1249405,RTG25,Unknown,CheToTruck
11/30/2021 9:07,MSCU5430633,RTG22,UTR5800,CheToTruck
11/30/2021 9:07,CAIU7437611,RTG16,MM6_610_B_1,CheToStack
11/30/2021 9:07,MEDU9462403,RTG23,312226,CheToTruck
11/30/2021 9:08,MRSU5118857,RTG27,129006,CheToTruck
11/30/2021 9:09,S0025364708,RTG28,151927,CheToTruck
11/30/2021 9:09,MSDU7479847,RTG23,EE1_242_B_1,CheToStack
11/30/2021 9:09,S0025364379,RTG16,MM6_610_B_2,CheToStack
11/30/2021 9:09,SUDU4976767,RTG25,DD6_670_B_1,CheToStack
11/30/2021 9:10,TRLU7205437,RTG21,200036,CheToTruck
11/30/2021 9:10,MRSU5189866,RTG27,EE5_570_D_4,CheToStack
11/30/2021 9:10,TLLU7922231,RTG28,CC3_458_D_1,CheToStack
11/30/2021 9:10,SMCU1210255,RTG16,225178,CheToTruck
11/30/2021 9:11,CRSU9319464,RTG17,NN1_238_A_1,CheToStack
11/30/2021 9:11,GAOU6572025,RTG25,DD6_670_B_2,CheToStack
11/30/2021 9:11,MEDU8481923,RTG26,EE2_308_F_4,CheToStack
11/30/2021 9:11,TRHU7583573,RTG23,EE1_242_B_2,CheToStack
11/30/2021 9:12,RFCU5019447,RTG27,EE5_570_F_4,CheToStack
11/30/2021 9:12,GAOU6699998,RTG26,EE2_308_D_4,CheToStack
11/30/2021 9:12,GLDU0445492,RTG25,DD6_670_C_3,CheToStack
11/30/2021 9:12,DFSU6477674,RTG23,EE1_242_B_3,CheToStack
11/30/2021 9:12,MSMU6603688,RTG28,CC3_458_D_2,CheToStack
11/30/2021 9:12,MSMU8274832,RTG22,MM3_376_E_4,CheToStack
11/30/2021 9:12,MSMU8520427,RTG17,207748,CheToTruck
11/30/2021 9:13,TCNU4741408,RTG26,EE2_308_F_5,CheToStack
11/30/2021 9:13,CAIU7482734,RTG25,DD6_670_B_3,CheToStack
11/30/2021 9:13,CAIU4358442,RTG27,273151,CheToTruck
11/30/2021 9:14,CAXU3129994,RTG21,CC1_143_E_4,CheToStack
11/30/2021 9:14,MSMU7490170,RTG23,223545,CheToTruck
11/30/2021 9:14,MSDU7282652,RTG28,CC3_458_D_3,CheToStack
11/30/2021 9:14,MSKU4716452,RTG16,MM5_594_D_1,CheToStack
11/30/2021 9:14,MEDU8848855,RTG22,UTR5603,CheToTruck
11/30/2021 9:14,MSCU4739973,RTG26,256197,CheToTruck
11/30/2021 9:15,S0025364839,RTG21,92407,CheToTruck
11/30/2021 9:15,MEDU7437130,RTG17,147991,CheToTruck
11/30/2021 9:15,SEGU6920197,RTG28,CC3_460_D_4,CheToStack
11/30/2021 9:16,MSMU8274832,RTG22,MM3_376_F_1,CheToStack
11/30/2021 9:16,MRSU4887970,RTG25,Unknown,CheToTruck
11/30/2021 9:16,TCNU4741408,RTG26,EE2_308_E_1,CheToStack
11/30/2021 9:16,CAXU3129994,RTG21,CC1_143_D_3,CheToStack
11/30/2021 9:16,MRKU2088571,RTG27,210730,CheToTruck
11/30/2021 9:17,FSCU7073688,RTG16,MM5_594_D_2,CheToStack
11/30/2021 9:17,MEDU8481923,RTG26,EE2_308_E_2,CheToStack
